date, pm25, pm10, o3, no2, so2, co
2023/3/6, 107, 73, , 74, 15, 42
2023/3/7, 91, 71, , 71, 17, 53
2023/3/8, 87, 54, , 59, 15, 20
2023/3/9, 62, 52, , 56, 10, 26
2023/3/10, 58, 55, , 66, 16, 29
2023/3/11, 66, 75, , 92, 23, 52
2023/3/12, 93, 69, , 101, 16, 33
2023/3/13, 80, 56, , 73, 13, 15
2023/3/14, 69, 61, , 71, 15, 19
2023/3/15, 97, 43, , 66, 9, 17
2023/3/16, 57, 41, , 76, 9, 22
2023/3/17, 43, 37, , 53, 7, 14
2023/3/18, 37, 67, , 81, 15, 40
2023/3/19, 72, 55, , 73, 10, 27
2023/3/20, 57, 39, , 68, 6, 17
2023/3/21, 33, 24, , 42, 4, 11
2023/3/22, 20, 19, , 44, 4, 11
2023/3/23, 17, 32, , 49, 25, 15
2023/3/24, 36, 49, , 62, 36, 29
2023/3/25, 57, 55, 52, 77, 73, 20
2023/3/26, 63, , , , , 
2023/3/28, 34, 32, , 53, 22, 11
2023/3/29, 33, 41, , 73, 8, 25
2023/3/30, 35, 48, , 69, 11, 32
2023/3/31, 40, 52, , 49, 9, 11
2022/10/11, 130, , , , , 
2022/7/1, 140, , , 58, 57, 
2022/7/2, 136, , , 65, 40, 22
2022/7/3, 156, , , 37, 22, 19
2022/7/4, 159, , , 41, 41, 19
2022/7/5, 111, , , 53, 46, 23
2022/7/6, 110, , , 43, 39, 18
2022/7/7, 95, , , 59, 31, 27
2022/7/8, 133, , , 84, 28, 32
2022/7/9, 195, , , 104, 28, 35
2022/7/10, 171, , , 100, 37, 44
2022/7/11, 115, , , 77, 47, 22
2022/7/12, 95, , , 53, 62, 18
2022/7/13, 84, , , 92, 56, 37
2022/7/14, 87, , , 99, 55, 36
2022/7/15, 93, , , 102, 35, 26
2022/7/16, 97, , , 93, 53, 26
2022/7/17, 82, , , 93, 50, 33
2022/7/18, 87, , , 94, 39, 27
2022/7/19, 83, , , 103, 42, 30
2022/7/20, 88, , , 99, 41, 35
2022/7/21, 108, , , 100, 46, 
2022/7/22, 112, , , 101, 67, 
2022/7/23, 111, , , 72, 31, 19
2022/7/24, 114, , , 40, 35, 19
2022/7/25, 130, , , 44, 27, 20
2022/7/26, 97, , , 94, 22, 39
2022/7/27, 111, , , 50, 60, 
2022/7/28, 152, , , 40, 58, 18
2022/7/29, 107, , , 50, 18, 20
2022/7/30, 77, , , 52, 23, 20
2022/7/31, 46, , , 52, 22, 23
2022/8/1, 77, , , 52, 21, 26
2022/8/2, 84, , , 75, 25, 29
2022/8/3, 97, , , 76, , 28
2022/8/4, 87, , , 81, , 25
2022/8/5, 109, , , 71, 23, 19
2022/8/6, 85, , , 57, 26, 
2022/8/7, 89, , , 78, , 
2022/8/8, 80, , , 89, , 46
2022/8/9, 104, , , 44, 33, 45
2022/8/10, 94, , , 70, 26, 33
2022/8/11, 79, , , 78, 35, 29
2022/8/12, 73, , , 92, 39, 50
2022/8/13, 76, , , 100, 39, 36
2022/8/14, 89, , , 98, 42, 38
2022/8/15, 88, , , 103, 35, 37
2022/8/16, 91, , , 102, 38, 30
2022/8/17, 91, , , 105, 30, 37
2022/8/18, 101, , , 102, 34, 37
2022/8/19, 105, , , 102, 35, 50
2022/8/20, 98, , , 94, 36, 37
2022/8/21, 98, , , 102, 37, 45
2022/8/22, 110, , , 82, 40, 33
2022/8/23, 88, , , 87, 38, 43
2022/8/24, 112, , , 92, 41, 40
2022/8/25, 96, , , 84, 36, 45
2022/8/26, 87, , , 95, 37, 51
2022/8/27, 85, , , 91, 47, 43
2022/8/28, 85, , , 102, 47, 49
2022/8/29, 98, , , 98, 39, 46
2022/8/30, 87, , , 102, 38, 50
2022/8/31, 87, , , 103, 34, 44
2022/9/1, 85, , , 102, 48, 46
2022/9/2, 86, , , 106, 48, 59
2022/9/3, 110, , , 99, 40, 40
2022/9/4, 99, , , 106, 40, 48
2022/9/5, 116, , , 105, 38, 40
2022/9/6, 104, , , 102, 37, 50
2022/9/7, 94, , , 97, 36, 39
2022/9/8, 88, , , 97, 35, 40
2022/9/9, 85, , , 98, 35, 51
2022/9/10, 104, , , 81, 35, 19
